unlocode,portName,countryCode,territoryType,territoryName,euEtsStatus,fuelEuStatus,ruleSourceId,sourceVersion
AEABU,Abu al Bukhoosh,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEAJM,Ajman,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEAJP,Al Jeer Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEAMF,Musaffah,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEAMU,Abu Musa,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEARP,Ahmed Bin Rashid Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEAUH,Abu Dhabi,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEDAS,Das Island,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEDBP,Dibba,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEDUJ,The Palm Jumeirah,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEDXB,Dubai,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEEND,Esnnad,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEFAT,Fateh Terminal,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEFJR,Al Fujayrah,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEFRP,Free Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEHSN,Hassyan,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEHTL,Hulaylah Terminal,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEHZP,Hamriya Free Zone Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEJAZ,Al Jazeera Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEJEA,Jebel Ali,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEJED,Jebel Dhanna,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEKHL,Mina Khalifa/Abu Dhabi,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEKLB,Kalba,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEKLF,Khor al Fakkan,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMBS,Mubarras Island,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMKH,Mina Khalid,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMRP,Mina Rashid Port,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMSA,Mina Saqr,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMUB,Mubarek Terminal,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEMZD,Mina Zayed/Abu Dhabi,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEPRA,Port Rashid,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEQIW,Umm al Quwain,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
AEQWE,Jebel Ali Free Zone,AE,THIRD_COUNTRY,Other third country or territory,THIRD_COUNTRY,THIRD_COUNTRY,PORT-02;ETS-01;FEU-01,UN/LOCODE 2025-1
